mode,train_fraction,seed,n_train_sessions,session_accuracy,macro_f1,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
scalars,0.1,0,4,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
scalars,0.1,1,4,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
scalars,0.1,2,4,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
scalars,0.1,3,4,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,0.1,4,4,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,0.2,0,8,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
scalars,0.2,1,8,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
scalars,0.2,2,8,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.2,3,8,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,0.2,4,8,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,0.3,0,16,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.3,1,16,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,0.3,2,16,0.9583333333333334,0.958041958041958,1.0,1.0,0.8333333333333334,1.0
scalars,0.3,3,16,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.3,4,16,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,0.5,0,28,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,0.5,1,28,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
scalars,0.5,2,28,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.5,3,28,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,0.5,4,28,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
scalars,0.7,0,36,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.7,1,36,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.7,2,36,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.7,3,36,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
scalars,0.7,4,36,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
scalars,1.0,0,56,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
freq,0.1,0,4,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.1,1,4,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.1,2,4,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
freq,0.1,3,4,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.1,4,4,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.2,2,8,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.2,4,8,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.3,0,16,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.3,1,16,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.3,2,16,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.3,3,16,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.3,4,16,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.5,0,28,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.5,1,28,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.5,2,28,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.5,3,28,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.5,4,28,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.7,0,36,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.7,1,36,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.7,2,36,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.7,3,36,1.0,1.0,1.0,1.0,1.0,1.0
freq,0.7,4,36,1.0,1.0,1.0,1.0,1.0,1.0
freq,1.0,0,56,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.1,0,4,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.1,1,4,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.1,2,4,0.875,0.8617216117216118,0.5,1.0,1.0,1.0
seq,0.1,3,4,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.1,4,4,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.2,2,8,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.2,4,8,0.9166666666666666,0.9142857142857143,0.6666666666666666,1.0,1.0,1.0
seq,0.3,0,16,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.3,1,16,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.3,2,16,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.3,3,16,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.3,4,16,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.5,0,28,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.5,1,28,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.5,2,28,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.5,3,28,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.5,4,28,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.7,0,36,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.7,1,36,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.7,2,36,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.7,3,36,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.7,4,36,1.0,1.0,1.0,1.0,1.0,1.0
seq,1.0,0,56,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.1,0,4,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.1,1,4,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.1,2,4,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
trans,0.1,3,4,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.1,4,4,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.2,2,8,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.2,4,8,0.9583333333333334,0.9580419580419581,0.8333333333333334,1.0,1.0,1.0
trans,0.3,0,16,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.3,1,16,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.3,2,16,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.3,3,16,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.3,4,16,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.5,0,28,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.5,1,28,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.5,2,28,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.5,3,28,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.5,4,28,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.7,0,36,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.7,1,36,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.7,2,36,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.7,3,36,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.7,4,36,1.0,1.0,1.0,1.0,1.0,1.0
trans,1.0,0,56,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.1,0,4,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.1,1,4,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.1,2,4,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.1,3,4,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.1,4,4,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.2,2,8,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.2,4,8,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.3,0,16,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.3,1,16,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.3,2,16,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.3,3,16,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.3,4,16,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.5,0,28,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.5,1,28,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.5,2,28,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.5,3,28,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.5,4,28,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.7,0,36,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.7,1,36,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.7,2,36,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.7,3,36,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.7,4,36,1.0,1.0,1.0,1.0,1.0,1.0
ctx,1.0,0,56,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,0,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,1,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,2,4,0.875,0.8666666666666667,0.5,1.0,1.0,1.0
fusion,0.1,3,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,4,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,2,8,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,4,8,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,0,16,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,1,16,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,2,16,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,3,16,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,4,16,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,0,28,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,1,28,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,2,28,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,3,28,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,4,28,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.7,0,36,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.7,1,36,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.7,2,36,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.7,3,36,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.7,4,36,1.0,1.0,1.0,1.0,1.0,1.0
fusion,1.0,0,56,1.0,1.0,1.0,1.0,1.0,1.0
