mode,noise_level,seed,session_accuracy,macro_f1,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
scalars,0.0,0,0.9166666666666666,0.9188311688311689,0.8333333333333334,1.0,1.0,0.8333333333333334
freq,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
seq,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
trans,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
ctx,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0
scalars,0.05,0,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.05,0,0.25,0.1,0.0,1.0,0.0,0.0
seq,0.05,0,0.7916666666666666,0.7357142857142857,1.0,1.0,1.0,0.16666666666666666
trans,0.05,0,0.2916666666666667,0.1748768472906404,0.16666666666666666,1.0,0.0,0.0
ctx,0.05,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,0,0.5833333333333334,0.5113636363636364,1.0,1.0,0.3333333333333333,0.0
scalars,0.05,1,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.05,1,0.25,0.1,0.0,1.0,0.0,0.0
seq,0.05,1,0.75,0.6666666666666666,1.0,1.0,1.0,0.0
trans,0.05,1,0.2916666666666667,0.1748768472906404,0.16666666666666666,1.0,0.0,0.0
ctx,0.05,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,1,0.5416666666666666,0.4518633540372671,1.0,1.0,0.16666666666666666,0.0
scalars,0.05,2,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.05,2,0.25,0.1,0.0,1.0,0.0,0.0
seq,0.05,2,0.7916666666666666,0.7478991596638656,1.0,1.0,1.0,0.16666666666666666
trans,0.05,2,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.05,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,2,0.5416666666666666,0.4518633540372671,1.0,1.0,0.16666666666666666,0.0
scalars,0.05,3,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.05,3,0.25,0.1,0.0,1.0,0.0,0.0
seq,0.05,3,0.75,0.657239819004525,1.0,1.0,1.0,0.0
trans,0.05,3,0.375,0.2777777777777778,0.5,1.0,0.0,0.0
ctx,0.05,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,3,0.5833333333333334,0.5113636363636364,1.0,1.0,0.3333333333333333,0.0
scalars,0.05,4,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.05,4,0.25,0.1,0.0,1.0,0.0,0.0
seq,0.05,4,0.75,0.657239819004525,1.0,1.0,1.0,0.0
trans,0.05,4,0.2916666666666667,0.1748768472906404,0.16666666666666666,1.0,0.0,0.0
ctx,0.05,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.05,4,0.5833333333333334,0.5113636363636364,1.0,1.0,0.3333333333333333,0.0
scalars,0.1,0,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.1,0,0.25,0.1,0.0,1.0,0.0,0.0
seq,0.1,0,0.5833333333333334,0.5113636363636364,1.0,1.0,0.3333333333333333,0.0
trans,0.1,0,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.1,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,0,0.5,0.375,1.0,1.0,0.0,0.0
scalars,0.1,1,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.1,1,0.25,0.1,0.0,1.0,0.0,0.0
seq,0.1,1,0.5833333333333334,0.5113636363636364,1.0,1.0,0.3333333333333333,0.0
trans,0.1,1,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.1,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,1,0.5,0.375,1.0,1.0,0.0,0.0
scalars,0.1,2,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.1,2,0.375,0.2777777777777778,0.5,1.0,0.0,0.0
seq,0.1,2,0.5833333333333334,0.5113636363636364,1.0,1.0,0.3333333333333333,0.0
trans,0.1,2,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.1,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,2,0.5,0.375,1.0,1.0,0.0,0.0
scalars,0.1,3,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.1,3,0.3333333333333333,0.23214285714285715,0.3333333333333333,1.0,0.0,0.0
seq,0.1,3,0.5833333333333334,0.5113636363636364,1.0,1.0,0.3333333333333333,0.0
trans,0.1,3,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.1,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,3,0.5,0.375,1.0,1.0,0.0,0.0
scalars,0.1,4,0.25,0.1,0.0,1.0,0.0,0.0
freq,0.1,4,0.2916666666666667,0.1748768472906404,0.16666666666666666,1.0,0.0,0.0
seq,0.1,4,0.625,0.5595238095238095,1.0,1.0,0.5,0.0
trans,0.1,4,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.1,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.1,4,0.5,0.375,1.0,1.0,0.0,0.0
scalars,0.2,0,0.5,0.375,1.0,1.0,0.0,0.0
freq,0.2,0,0.5,0.375,1.0,1.0,0.0,0.0
seq,0.2,0,0.2916666666666667,0.1748768472906404,0.16666666666666666,1.0,0.0,0.0
trans,0.2,0,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.2,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,0,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.2,1,0.5,0.375,1.0,1.0,0.0,0.0
freq,0.2,1,0.5,0.375,1.0,1.0,0.0,0.0
seq,0.2,1,0.2916666666666667,0.1748768472906404,0.16666666666666666,1.0,0.0,0.0
trans,0.2,1,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.2,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,1,0.2916666666666667,0.1748768472906404,0.16666666666666666,1.0,0.0,0.0
scalars,0.2,2,0.5,0.375,1.0,1.0,0.0,0.0
freq,0.2,2,0.5,0.375,1.0,1.0,0.0,0.0
seq,0.2,2,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.2,2,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.2,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,2,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.2,3,0.5,0.375,1.0,1.0,0.0,0.0
freq,0.2,3,0.5,0.375,1.0,1.0,0.0,0.0
seq,0.2,3,0.3333333333333333,0.23214285714285715,0.3333333333333333,1.0,0.0,0.0
trans,0.2,3,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.2,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,3,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.2,4,0.5,0.375,1.0,1.0,0.0,0.0
freq,0.2,4,0.5,0.375,1.0,1.0,0.0,0.0
seq,0.2,4,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.2,4,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.2,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.2,4,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,0,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,0,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,0,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,0,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,0,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,1,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,1,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,1,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,1,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,1,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,2,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,2,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,2,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,2,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,2,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,3,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,3,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,3,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,3,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,3,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,4,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,4,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,4,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,4,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,4,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,0,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,0,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,0,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,0,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,0,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,1,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,1,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,1,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,1,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,1,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,2,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,2,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,2,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,2,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,2,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,3,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,3,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,3,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,3,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,3,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,4,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,4,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,4,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,4,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,4,0.25,0.1,0.0,1.0,0.0,0.0
