mode,noise_level,seed,session_accuracy,session_fpr
scalars,0.0,0,1.0,0.0
freq,0.0,0,1.0,0.0
seq,0.0,0,1.0,0.0
trans,0.0,0,1.0,0.0
ctx,0.0,0,1.0,0.0
fusion,0.0,0,1.0,0.0
scalars,0.05,0,0.75,1.0
freq,0.05,0,0.8333333333333334,0.6666666666666666
seq,0.05,0,0.75,1.0
trans,0.05,0,0.75,1.0
ctx,0.05,0,1.0,0.0
fusion,0.05,0,0.75,1.0
scalars,0.05,1,0.75,1.0
freq,0.05,1,0.9583333333333334,0.16666666666666666
seq,0.05,1,0.75,1.0
trans,0.05,1,0.75,1.0
ctx,0.05,1,1.0,0.0
fusion,0.05,1,0.75,1.0
scalars,0.05,2,0.75,1.0
freq,0.05,2,0.75,1.0
seq,0.05,2,0.75,1.0
trans,0.05,2,0.75,1.0
ctx,0.05,2,1.0,0.0
fusion,0.05,2,0.75,1.0
scalars,0.05,3,0.75,1.0
freq,0.05,3,0.875,0.3333333333333333
seq,0.05,3,0.75,1.0
trans,0.05,3,0.75,1.0
ctx,0.05,3,1.0,0.0
fusion,0.05,3,0.75,1.0
scalars,0.05,4,0.75,1.0
freq,0.05,4,0.9166666666666666,0.3333333333333333
seq,0.05,4,0.75,1.0
trans,0.05,4,0.75,1.0
ctx,0.05,4,1.0,0.0
fusion,0.05,4,0.75,1.0
scalars,0.1,0,0.75,1.0
freq,0.1,0,0.375,0.0
seq,0.1,0,0.75,1.0
trans,0.1,0,0.75,1.0
ctx,0.1,0,1.0,0.0
fusion,0.1,0,0.75,1.0
scalars,0.1,1,0.75,1.0
freq,0.1,1,0.5416666666666666,0.0
seq,0.1,1,0.75,1.0
trans,0.1,1,0.75,1.0
ctx,0.1,1,1.0,0.0
fusion,0.1,1,0.75,1.0
scalars,0.1,2,0.75,1.0
freq,0.1,2,0.4166666666666667,0.0
seq,0.1,2,0.75,1.0
trans,0.1,2,0.75,1.0
ctx,0.1,2,1.0,0.0
fusion,0.1,2,0.75,1.0
scalars,0.1,3,0.75,1.0
freq,0.1,3,0.4583333333333333,0.0
seq,0.1,3,0.75,1.0
trans,0.1,3,0.75,1.0
ctx,0.1,3,1.0,0.0
fusion,0.1,3,0.75,1.0
scalars,0.1,4,0.75,1.0
freq,0.1,4,0.5833333333333334,0.0
seq,0.1,4,0.75,1.0
trans,0.1,4,0.75,1.0
ctx,0.1,4,1.0,0.0
fusion,0.1,4,0.75,1.0
scalars,0.2,0,0.75,1.0
freq,0.2,0,0.2916666666666667,0.0
seq,0.2,0,0.75,1.0
trans,0.2,0,0.75,1.0
ctx,0.2,0,1.0,0.0
fusion,0.2,0,0.75,1.0
scalars,0.2,1,0.75,1.0
freq,0.2,1,0.25,0.0
seq,0.2,1,0.75,1.0
trans,0.2,1,0.75,1.0
ctx,0.2,1,1.0,0.0
fusion,0.2,1,0.75,1.0
scalars,0.2,2,0.75,1.0
freq,0.2,2,0.25,0.0
seq,0.2,2,0.75,1.0
trans,0.2,2,0.75,1.0
ctx,0.2,2,1.0,0.0
fusion,0.2,2,0.75,1.0
scalars,0.2,3,0.75,1.0
freq,0.2,3,0.25,0.0
seq,0.2,3,0.75,1.0
trans,0.2,3,0.75,1.0
ctx,0.2,3,1.0,0.0
fusion,0.2,3,0.75,1.0
scalars,0.2,4,0.75,1.0
freq,0.2,4,0.25,0.0
seq,0.2,4,0.75,1.0
trans,0.2,4,0.75,1.0
ctx,0.2,4,1.0,0.0
fusion,0.2,4,0.75,1.0
scalars,0.3,0,0.75,1.0
freq,0.3,0,0.25,0.0
seq,0.3,0,0.75,1.0
trans,0.3,0,0.75,1.0
ctx,0.3,0,1.0,0.0
fusion,0.3,0,0.75,1.0
scalars,0.3,1,0.75,1.0
freq,0.3,1,0.25,0.0
seq,0.3,1,0.75,1.0
trans,0.3,1,0.75,1.0
ctx,0.3,1,1.0,0.0
fusion,0.3,1,0.75,1.0
scalars,0.3,2,0.75,1.0
freq,0.3,2,0.25,0.0
seq,0.3,2,0.75,1.0
trans,0.3,2,0.75,1.0
ctx,0.3,2,1.0,0.0
fusion,0.3,2,0.75,1.0
scalars,0.3,3,0.75,1.0
freq,0.3,3,0.2916666666666667,0.0
seq,0.3,3,0.75,1.0
trans,0.3,3,0.75,1.0
ctx,0.3,3,1.0,0.0
fusion,0.3,3,0.75,1.0
scalars,0.3,4,0.75,1.0
freq,0.3,4,0.25,0.0
seq,0.3,4,0.75,1.0
trans,0.3,4,0.75,1.0
ctx,0.3,4,1.0,0.0
fusion,0.3,4,0.75,1.0
scalars,0.5,0,0.75,1.0
freq,0.5,0,0.375,0.16666666666666666
seq,0.5,0,0.75,1.0
trans,0.5,0,0.75,1.0
ctx,0.5,0,1.0,0.0
fusion,0.5,0,0.75,1.0
scalars,0.5,1,0.75,1.0
freq,0.5,1,0.3333333333333333,0.5
seq,0.5,1,0.75,1.0
trans,0.5,1,0.75,1.0
ctx,0.5,1,1.0,0.0
fusion,0.5,1,0.75,1.0
scalars,0.5,2,0.75,1.0
freq,0.5,2,0.5,0.16666666666666666
seq,0.5,2,0.75,1.0
trans,0.5,2,0.75,1.0
ctx,0.5,2,1.0,0.0
fusion,0.5,2,0.75,1.0
scalars,0.5,3,0.75,1.0
freq,0.5,3,0.7083333333333334,0.16666666666666666
seq,0.5,3,0.75,1.0
trans,0.5,3,0.75,1.0
ctx,0.5,3,1.0,0.0
fusion,0.5,3,0.75,1.0
scalars,0.5,4,0.75,1.0
freq,0.5,4,0.5416666666666666,0.16666666666666666
seq,0.5,4,0.75,1.0
trans,0.5,4,0.75,1.0
ctx,0.5,4,1.0,0.0
fusion,0.5,4,0.75,1.0
